snapshot_date,captured_at,href,title,concept_doi,latest_version_doi,latest_record_id,views,unique_views,downloads,unique_downloads,version_views,version_unique_views,version_downloads,version_unique_downloads
2026-09-14,2026-09-14T22:48:13Z,papers/paper1.html,"Systems, Emergence, and the Conditions of Personhood",10.5281/zenodo.18528812,10.5281/zenodo.22683032,22683032,480,461,212,189,4,4,1,1
2026-09-14,2026-09-14T22:48:13Z,papers/paper2.html,Internal Colonization and the Reconstruction of Subjecthood,10.5281/zenodo.18666588,10.5281/zenodo.18666645,18666645,342,332,138,127,318,310,132,121
2026-09-14,2026-09-14T22:48:13Z,papers/paper3.html,The Complete Self-as-an-End Framework,10.5281/zenodo.18727326,10.5281/zenodo.18727327,18727327,407,391,162,147,407,391,162,147
2026-09-14,2026-09-14T22:48:13Z,papers/applied1.html,The Subjectivity Crisis in the Age of AI,10.5281/zenodo.18737475,10.5281/zenodo.18737476,18737476,744,704,355,296,744,704,355,296
2026-09-14,2026-09-14T22:48:13Z,papers/aesthetics.html,Aesthetics as a Structural Field of Subject-Conditions,10.5281/zenodo.18748930,10.5281/zenodo.21185992,21185992,197,196,61,61,7,7,1,1
2026-09-14,2026-09-14T22:48:13Z,papers/art-history.html,Art History Application: Aesthetics and the SAE Framework,10.5281/zenodo.18775061,10.5281/zenodo.18775062,18775062,208,208,55,55,208,208,55,55
2026-09-14,2026-09-14T22:48:13Z,papers/paper4.html,"How Is Subjecthood Possible: Symmetry, Negativity, and Subjecthood",10.5281/zenodo.18777363,10.5281/zenodo.18777364,18777364,210,209,90,89,210,209,90,89
2026-09-14,2026-09-14T22:48:13Z,papers/cosmological.html,Causality and Remainder: A Cosmological Physics Application,10.5281/zenodo.18779122,10.5281/zenodo.18779123,18779123,178,177,55,52,178,177,55,52
2026-09-14,2026-09-14T22:48:13Z,papers/philosophy-application.html,Philosophy as Subject-Activity: A Philosophical Application of the Self-as-an-End Framework,10.5281/zenodo.18779381,10.5281/zenodo.18779382,18779382,223,222,74,71,223,222,74,71
2026-09-14,2026-09-14T22:48:13Z,papers/mathematics-chisel.html,Mathematics as Second-Order Chisel: A Philosophy of Mathematics,10.5281/zenodo.18792944,10.5281/zenodo.18792945,18792945,185,184,64,60,185,184,64,60
2026-09-14,2026-09-14T22:48:13Z,papers/physics-chisel.html,Physics as Third-Order Chisel,10.5281/zenodo.18793537,10.5281/zenodo.18793538,18793538,181,179,59,59,181,179,59,59
2026-09-14,2026-09-14T22:48:13Z,papers/dynamics-chisel.html,Dynamics as Fourth-Order Chisel: A Philosophy of Causality,10.5281/zenodo.18799131,10.5281/zenodo.18799132,18799132,191,187,49,48,191,187,49,48
2026-09-14,2026-09-14T22:48:13Z,papers/life-5d-8d.html,From Replication to Prediction: The Chisel-Construct Cycle of Life (5D–8D) (V2.1),10.5281/zenodo.18807375,10.5281/zenodo.20194477,20194477,224,224,150,149,130,130,76,76
2026-09-14,2026-09-14T22:48:13Z,papers/living-toward-death.html,From Self-Awareness to Non Dubito: Completing Kant (9D–10D) (V2.4),10.5281/zenodo.18808584,10.5281/zenodo.20199606,20199606,239,238,98,96,122,122,41,40
2026-09-14,2026-09-14T22:48:13Z,papers/remainder-dualpath.html,Remainder Conservation and Dual-Path Structure,10.5281/zenodo.18809485,10.5281/zenodo.18811079,18811079,221,219,85,83,184,184,64,62
